,Response
6522,letting people know you re there if they want to
6523,people know you re there if they want to talk
6524,don have specific example but just letting people know you re
6525,have specific example but just letting people know you re there
6526,specific example but just letting people know you re there if
6527,example but just letting people know you re there if they
6528,but just letting people know you re there if they want
6529,just letting people know you re there if they want to
6530,letting people know you re there if they want to talk
6531,don have specific example but just letting people know you re there
6532,have specific example but just letting people know you re there if
6533,specific example but just letting people know you re there if they
6534,example but just letting people know you re there if they want
6535,but just letting people know you re there if they want to
6536,just letting people know you re there if they want to talk
6537,don have specific example but just letting people know you re there if
6538,have specific example but just letting people know you re there if they
6539,specific example but just letting people know you re there if they want
6540,example but just letting people know you re there if they want to
6541,but just letting people know you re there if they want to talk
6542,don have specific example but just letting people know you re there if they
6543,have specific example but just letting people know you re there if they want
6544,specific example but just letting people know you re there if they want to
6545,example but just letting people know you re there if they want to talk
6546,don have specific example but just letting people know you re there if they want
6547,have specific example but just letting people know you re there if they want to
6548,specific example but just letting people know you re there if they want to talk
6549,don have specific example but just letting people know you re there if they want to
6550,have specific example but just letting people know you re there if they want to talk
6551,don have specific example but just letting people know you re there if they want to talk
6552,some
6553,of
6554,my
6555,friends
6556,have
6557,gone
6558,through
6559,the
6560,same
6561,type
6562,struggle
6563,been
6564,some of
6565,of my
6566,my friends
6567,friends have
6568,have gone
6569,gone through
6570,through the
6571,the same
6572,same type
6573,type of
6574,of struggle
6575,struggle have
6576,have been
6577,been through
6578,some of my
6579,of my friends
6580,my friends have
6581,friends have gone
6582,have gone through
6583,gone through the
6584,through the same
6585,the same type
6586,same type of
6587,type of struggle
6588,of struggle have
6589,struggle have been
6590,have been through
6591,some of my friends
6592,of my friends have
6593,my friends have gone
6594,friends have gone through
6595,have gone through the
6596,gone through the same
6597,through the same type
6598,the same type of
6599,same type of struggle
6600,type of struggle have
6601,of struggle have been
6602,struggle have been through
6603,some of my friends have
6604,of my friends have gone
6605,my friends have gone through
6606,friends have gone through the
6607,have gone through the same
6608,gone through the same type
6609,through the same type of
6610,the same type of struggle
6611,same type of struggle have
6612,type of struggle have been
6613,of struggle have been through
6614,some of my friends have gone
6615,of my friends have gone through
6616,my friends have gone through the
6617,friends have gone through the same
6618,have gone through the same type
6619,gone through the same type of
6620,through the same type of struggle
6621,the same type of struggle have
6622,same type of struggle have been
6623,type of struggle have been through
6624,some of my friends have gone through
6625,of my friends have gone through the
6626,my friends have gone through the same
6627,friends have gone through the same type
6628,have gone through the same type of
6629,gone through the same type of struggle
6630,through the same type of struggle have
6631,the same type of struggle have been
6632,same type of struggle have been through
6633,some of my friends have gone through the
6634,of my friends have gone through the same
6635,my friends have gone through the same type
6636,friends have gone through the same type of
6637,have gone through the same type of struggle
6638,gone through the same type of struggle have
6639,through the same type of struggle have been
6640,the same type of struggle have been through
6641,some of my friends have gone through the same
6642,of my friends have gone through the same type
6643,my friends have gone through the same type of
6644,friends have gone through the same type of struggle
6645,have gone through the same type of struggle have
6646,gone through the same type of struggle have been
6647,through the same type of struggle have been through
6648,some of my friends have gone through the same type
6649,of my friends have gone through the same type of
6650,my friends have gone through the same type of struggle
6651,friends have gone through the same type of struggle have
6652,have gone through the same type of struggle have been
6653,gone through the same type of struggle have been through
6654,some of my friends have gone through the same type of
6655,of my friends have gone through the same type of struggle
6656,my friends have gone through the same type of struggle have
6657,friends have gone through the same type of struggle have been
6658,have gone through the same type of struggle have been through
6659,some of my friends have gone through the same type of struggle
6660,of my friends have gone through the same type of struggle have
6661,my friends have gone through the same type of struggle have been
6662,friends have gone through the same type of struggle have been through
6663,some of my friends have gone through the same type of struggle have
6664,of my friends have gone through the same type of struggle have been
6665,my friends have gone through the same type of struggle have been through
6666,some of my friends have gone through the same type of struggle have been
6667,of my friends have gone through the same type of struggle have been through
6668,some of my friends have gone through the same type of struggle have been through
6669,let
6670,them
6671,know
6672,that
6673,they
6674,could
6675,talk
6676,to
6677,me
6678,about
6679,anything
6680,and
6681,being
6682,honest
6683,with
6684,yourself
6685,even
6686,if
6687,the
6688,truth
6689,hurts
6690,is
6691,best
6692,way
6693,start
6694,get
6695,back
6696,up
6697,let them
6698,them know
6699,know that
6700,that they
6701,they could
6702,could talk
6703,talk to
6704,to me
6705,me about
6706,about anything
6707,anything and
6708,and that
6709,that being
6710,being honest
6711,honest with
6712,with yourself
6713,yourself even
6714,even if
6715,if the
6716,the truth
6717,truth hurts
6718,hurts is
6719,is the
6720,the best
6721,best way
6722,way to
6723,to start
6724,start to
6725,to get
6726,get back
6727,back up
6728,let them know
6729,them know that
6730,know that they
6731,that they could
6732,they could talk
6733,could talk to
6734,talk to me
6735,to me about
6736,me about anything
6737,about anything and
6738,anything and that
6739,and that being
6740,that being honest
6741,being honest with
6742,honest with yourself
6743,with yourself even
6744,yourself even if
6745,even if the
6746,if the truth
6747,the truth hurts
6748,truth hurts is
6749,hurts is the
6750,is the best
6751,the best way
6752,best way to
6753,way to start
6754,to start to
6755,start to get
6756,to get back
6757,get back up
6758,let them know that
6759,them know that they
6760,know that they could
6761,that they could talk
6762,they could talk to
6763,could talk to me
6764,talk to me about
6765,to me about anything
6766,me about anything and
6767,about anything and that
6768,anything and that being
6769,and that being honest
6770,that being honest with
6771,being honest with yourself
6772,honest with yourself even
6773,with yourself even if
6774,yourself even if the
6775,even if the truth
6776,if the truth hurts
6777,the truth hurts is
6778,truth hurts is the
6779,hurts is the best
6780,is the best way
6781,the best way to
6782,best way to start
6783,way to start to
6784,to start to get
6785,start to get back
6786,to get back up
6787,let them know that they
6788,them know that they could
6789,know that they could talk
6790,that they could talk to
6791,they could talk to me
6792,could talk to me about
6793,talk to me about anything
6794,to me about anything and
6795,me about anything and that
6796,about anything and that being
6797,anything and that being honest
6798,and that being honest with
6799,that being honest with yourself
6800,being honest with yourself even
6801,honest with yourself even if
6802,with yourself even if the
6803,yourself even if the truth
6804,even if the truth hurts
6805,if the truth hurts is
6806,the truth hurts is the
6807,truth hurts is the best
6808,hurts is the best way
6809,is the best way to
6810,the best way to start
6811,best way to start to
6812,way to start to get
6813,to start to get back
6814,start to get back up
6815,let them know that they could
6816,them know that they could talk
6817,know that they could talk to
6818,that they could talk to me
6819,they could talk to me about
6820,could talk to me about anything
6821,talk to me about anything and
6822,to me about anything and that
6823,me about anything and that being
6824,about anything and that being honest
6825,anything and that being honest with
6826,and that being honest with yourself
6827,that being honest with yourself even
6828,being honest with yourself even if
6829,honest with yourself even if the
6830,with yourself even if the truth
6831,yourself even if the truth hurts
6832,even if the truth hurts is
6833,if the truth hurts is the
6834,the truth hurts is the best
6835,truth hurts is the best way
6836,hurts is the best way to
6837,is the best way to start
6838,the best way to start to
6839,best way to start to get
6840,way to start to get back
6841,to start to get back up
6842,let them know that they could talk
6843,them know that they could talk to
6844,know that they could talk to me
6845,that they could talk to me about
6846,they could talk to me about anything
6847,could talk to me about anything and
6848,talk to me about anything and that
6849,to me about anything and that being
6850,me about anything and that being honest
6851,about anything and that being honest with
6852,anything and that being honest with yourself
6853,and that being honest with yourself even
6854,that being honest with yourself even if
6855,being honest with yourself even if the
6856,honest with yourself even if the truth
6857,with yourself even if the truth hurts
6858,yourself even if the truth hurts is
6859,even if the truth hurts is the
6860,if the truth hurts is the best
6861,the truth hurts is the best way
6862,truth hurts is the best way to
6863,hurts is the best way to start
6864,is the best way to start to
6865,the best way to start to get
6866,best way to start to get back
6867,way to start to get back up
6868,let them know that they could talk to
6869,them know that they could talk to me
6870,know that they could talk to me about
6871,that they could talk to me about anything
6872,they could talk to me about anything and
6873,could talk to me about anything and that
6874,talk to me about anything and that being
6875,to me about anything and that being honest
6876,me about anything and that being honest with
6877,about anything and that being honest with yourself
6878,anything and that being honest with yourself even
6879,and that being honest with yourself even if
6880,that being honest with yourself even if the
6881,being honest with yourself even if the truth
6882,honest with yourself even if the truth hurts
6883,with yourself even if the truth hurts is
6884,yourself even if the truth hurts is the
6885,even if the truth hurts is the best
6886,if the truth hurts is the best way
6887,the truth hurts is the best way to
6888,truth hurts is the best way to start
6889,hurts is the best way to start to
6890,is the best way to start to get
6891,the best way to start to get back
6892,best way to start to get back up
6893,let them know that they could talk to me
6894,them know that they could talk to me about
6895,know that they could talk to me about anything
6896,that they could talk to me about anything and
6897,they could talk to me about anything and that
6898,could talk to me about anything and that being
6899,talk to me about anything and that being honest
6900,to me about anything and that being honest with
6901,me about anything and that being honest with yourself
6902,about anything and that being honest with yourself even
6903,anything and that being honest with yourself even if
6904,and that being honest with yourself even if the
6905,that being honest with yourself even if the truth
6906,being honest with yourself even if the truth hurts
6907,honest with yourself even if the truth hurts is
6908,with yourself even if the truth hurts is the
6909,yourself even if the truth hurts is the best
6910,even if the truth hurts is the best way
6911,if the truth hurts is the best way to
6912,the truth hurts is the best way to start
6913,truth hurts is the best way to start to
6914,hurts is the best way to start to get
6915,is the best way to start to get back
6916,the best way to start to get back up
6917,let them know that they could talk to me about
6918,them know that they could talk to me about anything
6919,know that they could talk to me about anything and
6920,that they could talk to me about anything and that
6921,they could talk to me about anything and that being
6922,could talk to me about anything and that being honest
6923,talk to me about anything and that being honest with
6924,to me about anything and that being honest with yourself
6925,me about anything and that being honest with yourself even
6926,about anything and that being honest with yourself even if
6927,anything and that being honest with yourself even if the
6928,and that being honest with yourself even if the truth
6929,that being honest with yourself even if the truth hurts
6930,being honest with yourself even if the truth hurts is
6931,honest with yourself even if the truth hurts is the
6932,with yourself even if the truth hurts is the best
6933,yourself even if the truth hurts is the best way
6934,even if the truth hurts is the best way to
6935,if the truth hurts is the best way to start
6936,the truth hurts is the best way to start to
6937,truth hurts is the best way to start to get
6938,hurts is the best way to start to get back
6939,is the best way to start to get back up
6940,let them know that they could talk to me about anything
6941,them know that they could talk to me about anything and
6942,know that they could talk to me about anything and that
6943,that they could talk to me about anything and that being
6944,they could talk to me about anything and that being honest
6945,could talk to me about anything and that being honest with
6946,talk to me about anything and that being honest with yourself
6947,to me about anything and that being honest with yourself even
6948,me about anything and that being honest with yourself even if
6949,about anything and that being honest with yourself even if the
6950,anything and that being honest with yourself even if the truth
6951,and that being honest with yourself even if the truth hurts
6952,that being honest with yourself even if the truth hurts is
6953,being honest with yourself even if the truth hurts is the
6954,honest with yourself even if the truth hurts is the best
6955,with yourself even if the truth hurts is the best way
6956,yourself even if the truth hurts is the best way to
6957,even if the truth hurts is the best way to start
6958,if the truth hurts is the best way to start to
6959,the truth hurts is the best way to start to get
6960,truth hurts is the best way to start to get back
6961,hurts is the best way to start to get back up
6962,let them know that they could talk to me about anything and
6963,them know that they could talk to me about anything and that
6964,know that they could talk to me about anything and that being
6965,that they could talk to me about anything and that being honest
6966,they could talk to me about anything and that being honest with
6967,could talk to me about anything and that being honest with yourself
6968,talk to me about anything and that being honest with yourself even
6969,to me about anything and that being honest with yourself even if
6970,me about anything and that being honest with yourself even if the
6971,about anything and that being honest with yourself even if the truth
6972,anything and that being honest with yourself even if the truth hurts
6973,and that being honest with yourself even if the truth hurts is
6974,that being honest with yourself even if the truth hurts is the
6975,being honest with yourself even if the truth hurts is the best
6976,honest with yourself even if the truth hurts is the best way
6977,with yourself even if the truth hurts is the best way to
6978,yourself even if the truth hurts is the best way to start
6979,even if the truth hurts is the best way to start to
6980,if the truth hurts is the best way to start to get
6981,the truth hurts is the best way to start to get back
6982,truth hurts is the best way to start to get back up
6983,let them know that they could talk to me about anything and that
6984,them know that they could talk to me about anything and that being
6985,know that they could talk to me about anything and that being honest
6986,that they could talk to me about anything and that being honest with
6987,they could talk to me about anything and that being honest with yourself
6988,could talk to me about anything and that being honest with yourself even
6989,talk to me about anything and that being honest with yourself even if
6990,to me about anything and that being honest with yourself even if the
6991,me about anything and that being honest with yourself even if the truth
6992,about anything and that being honest with yourself even if the truth hurts
6993,anything and that being honest with yourself even if the truth hurts is
6994,and that being honest with yourself even if the truth hurts is the
6995,that being honest with yourself even if the truth hurts is the best
6996,being honest with yourself even if the truth hurts is the best way
6997,honest with yourself even if the truth hurts is the best way to
6998,with yourself even if the truth hurts is the best way to start
6999,yourself even if the truth hurts is the best way to start to
7000,even if the truth hurts is the best way to start to get
7001,if the truth hurts is the best way to start to get back
7002,the truth hurts is the best way to start to get back up
7003,let them know that they could talk to me about anything and that being
7004,them know that they could talk to me about anything and that being honest
7005,know that they could talk to me about anything and that being honest with
7006,that they could talk to me about anything and that being honest with yourself
7007,they could talk to me about anything and that being honest with yourself even
7008,could talk to me about anything and that being honest with yourself even if
7009,talk to me about anything and that being honest with yourself even if the
7010,to me about anything and that being honest with yourself even if the truth
7011,me about anything and that being honest with yourself even if the truth hurts
7012,about anything and that being honest with yourself even if the truth hurts is
7013,anything and that being honest with yourself even if the truth hurts is the
7014,and that being honest with yourself even if the truth hurts is the best
7015,that being honest with yourself even if the truth hurts is the best way
7016,being honest with yourself even if the truth hurts is the best way to
7017,honest with yourself even if the truth hurts is the best way to start
7018,with yourself even if the truth hurts is the best way to start to
7019,yourself even if the truth hurts is the best way to start to get
7020,even if the truth hurts is the best way to start to get back
7021,if the truth hurts is the best way to start to get back up
7022,let them know that they could talk to me about anything and that being honest
7023,them know that they could talk to me about anything and that being honest with
7024,know that they could talk to me about anything and that being honest with yourself
7025,that they could talk to me about anything and that being honest with yourself even
7026,they could talk to me about anything and that being honest with yourself even if
7027,could talk to me about anything and that being honest with yourself even if the
7028,talk to me about anything and that being honest with yourself even if the truth
7029,to me about anything and that being honest with yourself even if the truth hurts
7030,me about anything and that being honest with yourself even if the truth hurts is
7031,about anything and that being honest with yourself even if the truth hurts is the
7032,anything and that being honest with yourself even if the truth hurts is the best
7033,and that being honest with yourself even if the truth hurts is the best way
7034,that being honest with yourself even if the truth hurts is the best way to
7035,being honest with yourself even if the truth hurts is the best way to start
7036,honest with yourself even if the truth hurts is the best way to start to
7037,with yourself even if the truth hurts is the best way to start to get
7038,yourself even if the truth hurts is the best way to start to get back
7039,even if the truth hurts is the best way to start to get back up
7040,let them know that they could talk to me about anything and that being honest with
7041,them know that they could talk to me about anything and that being honest with yourself
7042,know that they could talk to me about anything and that being honest with yourself even
7043,that they could talk to me about anything and that being honest with yourself even if
7044,they could talk to me about anything and that being honest with yourself even if the
7045,could talk to me about anything and that being honest with yourself even if the truth
7046,talk to me about anything and that being honest with yourself even if the truth hurts
7047,to me about anything and that being honest with yourself even if the truth hurts is
7048,me about anything and that being honest with yourself even if the truth hurts is the
7049,about anything and that being honest with yourself even if the truth hurts is the best
7050,anything and that being honest with yourself even if the truth hurts is the best way
7051,and that being honest with yourself even if the truth hurts is the best way to
7052,that being honest with yourself even if the truth hurts is the best way to start
7053,being honest with yourself even if the truth hurts is the best way to start to
7054,honest with yourself even if the truth hurts is the best way to start to get
7055,with yourself even if the truth hurts is the best way to start to get back
7056,yourself even if the truth hurts is the best way to start to get back up
7057,let them know that they could talk to me about anything and that being honest with yourself
7058,them know that they could talk to me about anything and that being honest with yourself even
7059,know that they could talk to me about anything and that being honest with yourself even if
7060,that they could talk to me about anything and that being honest with yourself even if the
7061,they could talk to me about anything and that being honest with yourself even if the truth
7062,could talk to me about anything and that being honest with yourself even if the truth hurts
7063,talk to me about anything and that being honest with yourself even if the truth hurts is
7064,to me about anything and that being honest with yourself even if the truth hurts is the
7065,me about anything and that being honest with yourself even if the truth hurts is the best
7066,about anything and that being honest with yourself even if the truth hurts is the best way
7067,anything and that being honest with yourself even if the truth hurts is the best way to
7068,and that being honest with yourself even if the truth hurts is the best way to start
7069,that being honest with yourself even if the truth hurts is the best way to start to
7070,being honest with yourself even if the truth hurts is the best way to start to get
7071,honest with yourself even if the truth hurts is the best way to start to get back
7072,with yourself even if the truth hurts is the best way to start to get back up
7073,let them know that they could talk to me about anything and that being honest with yourself even
7074,them know that they could talk to me about anything and that being honest with yourself even if
7075,know that they could talk to me about anything and that being honest with yourself even if the
7076,that they could talk to me about anything and that being honest with yourself even if the truth
7077,they could talk to me about anything and that being honest with yourself even if the truth hurts
7078,could talk to me about anything and that being honest with yourself even if the truth hurts is
7079,talk to me about anything and that being honest with yourself even if the truth hurts is the
7080,to me about anything and that being honest with yourself even if the truth hurts is the best
7081,me about anything and that being honest with yourself even if the truth hurts is the best way
7082,about anything and that being honest with yourself even if the truth hurts is the best way to
7083,anything and that being honest with yourself even if the truth hurts is the best way to start
7084,and that being honest with yourself even if the truth hurts is the best way to start to
7085,that being honest with yourself even if the truth hurts is the best way to start to get
7086,being honest with yourself even if the truth hurts is the best way to start to get back
7087,honest with yourself even if the truth hurts is the best way to start to get back up
7088,let them know that they could talk to me about anything and that being honest with yourself even if
7089,them know that they could talk to me about anything and that being honest with yourself even if the
7090,know that they could talk to me about anything and that being honest with yourself even if the truth
7091,that they could talk to me about anything and that being honest with yourself even if the truth hurts
7092,they could talk to me about anything and that being honest with yourself even if the truth hurts is
7093,could talk to me about anything and that being honest with yourself even if the truth hurts is the
7094,talk to me about anything and that being honest with yourself even if the truth hurts is the best
7095,to me about anything and that being honest with yourself even if the truth hurts is the best way
7096,me about anything and that being honest with yourself even if the truth hurts is the best way to
7097,about anything and that being honest with yourself even if the truth hurts is the best way to start
7098,anything and that being honest with yourself even if the truth hurts is the best way to start to
7099,and that being honest with yourself even if the truth hurts is the best way to start to get
7100,that being honest with yourself even if the truth hurts is the best way to start to get back
7101,being honest with yourself even if the truth hurts is the best way to start to get back up
7102,let them know that they could talk to me about anything and that being honest with yourself even if the
7103,them know that they could talk to me about anything and that being honest with yourself even if the truth
7104,know that they could talk to me about anything and that being honest with yourself even if the truth hurts
7105,that they could talk to me about anything and that being honest with yourself even if the truth hurts is
7106,they could talk to me about anything and that being honest with yourself even if the truth hurts is the
7107,could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7108,talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7109,to me about anything and that being honest with yourself even if the truth hurts is the best way to
7110,me about anything and that being honest with yourself even if the truth hurts is the best way to start
7111,about anything and that being honest with yourself even if the truth hurts is the best way to start to
7112,anything and that being honest with yourself even if the truth hurts is the best way to start to get
7113,and that being honest with yourself even if the truth hurts is the best way to start to get back
7114,that being honest with yourself even if the truth hurts is the best way to start to get back up
7115,let them know that they could talk to me about anything and that being honest with yourself even if the truth
7116,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts
7117,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is
7118,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the
7119,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7120,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7121,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7122,to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7123,me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7124,about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7125,anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7126,and that being honest with yourself even if the truth hurts is the best way to start to get back up
7127,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts
7128,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is
7129,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the
7130,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7131,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7132,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7133,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7134,to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7135,me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7136,about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7137,anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7138,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is
7139,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the
7140,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7141,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7142,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7143,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7144,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7145,to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7146,me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7147,about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7148,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the
7149,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7150,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7151,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7152,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7153,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7154,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7155,to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7156,me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7157,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best
7158,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7159,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7160,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7161,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7162,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7163,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7164,to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7165,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way
7166,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7167,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7168,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7169,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7170,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7171,talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7172,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to
7173,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7174,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7175,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7176,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7177,could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7178,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start
7179,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7180,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7181,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7182,they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7183,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to
7184,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7185,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7186,that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7187,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get
7188,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7189,know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7190,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back
7191,them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7192,let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up
7193,friend
7194,who
7195,had
7196,big
7197,addiction
7198,issues
7199,ended
7200,up
7201,being
7202,completely
7203,isolated
7204,skipped
7205,school
7206,and
7207,very
7208,low
7209,self
7210,esteem
7211,friend who
7212,who had
7213,had big
7214,big addiction
7215,addiction issues
7216,issues ended
7217,ended up
7218,up being
7219,being completely
7220,completely isolated
7221,isolated skipped
7222,skipped school
7223,school and
7224,and had
7225,had very
7226,very low
7227,low self
7228,self esteem
7229,friend who had
7230,who had big
7231,had big addiction
7232,big addiction issues
7233,addiction issues ended
7234,issues ended up
7235,ended up being
7236,up being completely
7237,being completely isolated
7238,completely isolated skipped
7239,isolated skipped school
7240,skipped school and
7241,school and had
7242,and had very
7243,had very low
7244,very low self
7245,low self esteem
7246,friend who had big
7247,who had big addiction
7248,had big addiction issues
7249,big addiction issues ended
7250,addiction issues ended up
7251,issues ended up being
7252,ended up being completely
7253,up being completely isolated
7254,being completely isolated skipped
7255,completely isolated skipped school
7256,isolated skipped school and
7257,skipped school and had
7258,school and had very
7259,and had very low
7260,had very low self
7261,very low self esteem
7262,friend who had big addiction
7263,who had big addiction issues
7264,had big addiction issues ended
7265,big addiction issues ended up
7266,addiction issues ended up being
7267,issues ended up being completely
7268,ended up being completely isolated
7269,up being completely isolated skipped
7270,being completely isolated skipped school
7271,completely isolated skipped school and
7272,isolated skipped school and had
7273,skipped school and had very
7274,school and had very low
7275,and had very low self
7276,had very low self esteem
7277,friend who had big addiction issues
7278,who had big addiction issues ended
7279,had big addiction issues ended up
7280,big addiction issues ended up being
7281,addiction issues ended up being completely
7282,issues ended up being completely isolated
7283,ended up being completely isolated skipped
7284,up being completely isolated skipped school
7285,being completely isolated skipped school and
7286,completely isolated skipped school and had
7287,isolated skipped school and had very
7288,skipped school and had very low
7289,school and had very low self
7290,and had very low self esteem
7291,friend who had big addiction issues ended
7292,who had big addiction issues ended up
7293,had big addiction issues ended up being
7294,big addiction issues ended up being completely
7295,addiction issues ended up being completely isolated
7296,issues ended up being completely isolated skipped
7297,ended up being completely isolated skipped school
7298,up being completely isolated skipped school and
7299,being completely isolated skipped school and had
7300,completely isolated skipped school and had very
7301,isolated skipped school and had very low
7302,skipped school and had very low self
7303,school and had very low self esteem
7304,friend who had big addiction issues ended up
7305,who had big addiction issues ended up being
7306,had big addiction issues ended up being completely
7307,big addiction issues ended up being completely isolated
7308,addiction issues ended up being completely isolated skipped
7309,issues ended up being completely isolated skipped school
7310,ended up being completely isolated skipped school and
7311,up being completely isolated skipped school and had
7312,being completely isolated skipped school and had very
7313,completely isolated skipped school and had very low
7314,isolated skipped school and had very low self
7315,skipped school and had very low self esteem
7316,friend who had big addiction issues ended up being
7317,who had big addiction issues ended up being completely
7318,had big addiction issues ended up being completely isolated
7319,big addiction issues ended up being completely isolated skipped
7320,addiction issues ended up being completely isolated skipped school
7321,issues ended up being completely isolated skipped school and
7322,ended up being completely isolated skipped school and had
7323,up being completely isolated skipped school and had very
7324,being completely isolated skipped school and had very low
7325,completely isolated skipped school and had very low self
7326,isolated skipped school and had very low self esteem
7327,friend who had big addiction issues ended up being completely
7328,who had big addiction issues ended up being completely isolated
7329,had big addiction issues ended up being completely isolated skipped
7330,big addiction issues ended up being completely isolated skipped school
7331,addiction issues ended up being completely isolated skipped school and
